neighborhood,crime_rank,income_rank,avg_sales_rank,cum_development_rank,eq_weight_score,weights_by_completeness,weights_by_reliability
ASTORIA,175.0,76.0,27.0,30.0,0.3738,0.3283,0.8353
BATHBEACH,60.5,89.0,110.0,142.0,0.4873,0.4282,2.8146
GRAVESEND,60.5,132.0,53.0,62.0,0.3732,0.3086,1.4547
FINANCIAL,140.5,10.0,7.0,5.0,0.1972,0.1831,0.2618
SOUTHBRIDGE,140.5,41.0,64.0,57.0,0.3671,0.3302,1.663
BAYRIDGE,19.0,72.0,35.0,52.0,0.216,0.1805,0.9453
BAYSIDE,14.5,97.0,32.0,40.0,0.2227,0.1785,0.8845
DOUGLASTON,14.5,64.0,129.0,158.0,0.4436,0.3934,3.218
LITTLENECK,14.5,61.0,127.0,151.0,0.429,0.3804,3.1613
OAKLANDGARDENS,14.5,91.0,122.0,162.0,0.4727,0.4135,3.0872
BEDFORDPARK/NORWOOD,178.5,190.0,91.0,64.0,0.6353,0.5337,2.461
BEDFORDSTUYVESANT,106.0,127.0,21.0,22.0,0.335,0.2755,0.6959
BELMONT,145.5,195.0,161.0,93.0,0.7215,0.6066,4.0916
BENSONHURST,60.5,129.0,59.0,87.0,0.4072,0.3426,1.6174
BOROUGHPARK,54.5,121.0,30.0,29.0,0.2846,0.229,0.874
BRIGHTONBEACH,51.5,104.0,98.0,134.0,0.4703,0.4083,2.5383
MANHATTANBEACH,51.5,112.0,167.0,132.0,0.5613,0.4831,4.1349
SEAGATE,51.5,183.0,187.0,178.0,0.7275,0.6183,4.7152
BROOKLYNHEIGHTS,85.5,47.0,28.0,36.0,0.2385,0.2096,0.7825
BROOKLYN-UNKNOWN,85.5,78.0,190.0,101.0,0.5516,0.4798,4.619
COBBLEHILL,85.5,36.0,112.0,124.0,0.4339,0.3931,2.8048
COBBLEHILL-WEST,85.5,42.0,164.0,165.0,0.554,0.501,4.0544
DOWNTOWN-FULTONFERRY,85.5,31.0,56.0,82.0,0.3089,0.2808,1.4628
DOWNTOWN-METROTECH,85.5,40.0,71.0,39.0,0.2858,0.2514,1.7704
BROWNSVILLE,173.5,145.0,131.0,105.0,0.6729,0.5812,3.3814
BUSHWICK,147.5,92.0,37.0,35.0,0.378,0.3263,1.0702
WYCKOFFHEIGHTS,147.5,189.0,159.0,126.0,0.7542,0.6419,4.0769
CANARSIE,38.0,164.0,62.0,98.0,0.4393,0.3622,1.7189
CARROLLGARDENS,32.0,45.0,88.0,67.0,0.2816,0.2454,2.1654
BOERUMHILL,32.0,44.0,80.0,47.0,0.2464,0.2121,1.9581
GOWANUS,32.0,53.0,82.0,78.0,0.2973,0.2593,2.0468
REDHOOK,32.0,54.0,135.0,129.0,0.4248,0.3761,3.3256
HARLEM-CENTRAL,68.0,46.0,19.0,17.0,0.182,0.1564,0.5426
CHELSEA,195.5,12.0,6.0,8.0,0.2688,0.2506,0.2774
FLATIRON,195.5,8.0,9.0,7.0,0.2664,0.2491,0.3416
MADISON,195.5,136.0,96.0,113.0,0.6559,0.5729,2.5877
CHINATOWN,136.0,28.0,67.0,63.0,0.3568,0.3245,1.7234
CLINTON,195.5,2.0,24.0,27.0,0.3016,0.2837,0.7035
CO-OPCITY,93.0,158.0,197.0,130.0,0.7015,0.5972,4.8943
MELROSE/CONCOURSE,184.5,180.0,94.0,44.0,0.6098,0.5111,2.5022
CONEYISLAND,51.5,152.0,119.0,55.0,0.4581,0.3738,2.9828
CROWNHEIGHTS,82.0,98.0,31.0,28.0,0.29,0.2413,0.8903
DYKERHEIGHTS,19.0,117.0,111.0,117.0,0.4417,0.3744,2.8124
FLATBUSH-EAST,176.0,135.0,52.0,88.0,0.5473,0.4744,1.533
HARLEM-EAST,107.0,43.0,45.0,42.0,0.2876,0.2557,1.1902
EASTNEWYORK,203.0,142.0,41.0,51.0,0.5303,0.4551,1.2621
SPRINGCREEK,203.0,194.0,140.0,149.0,0.8325,0.7184,3.7024
EASTTREMONT,145.5,208.0,137.0,86.0,0.6996,0.5844,3.5431
WILLIAMSBURG-EAST,151.5,144.0,43.0,41.0,0.4606,0.3875,1.268
MASPETH,151.5,123.0,68.0,79.0,0.5115,0.4417,1.8656
NAVYYARD,151.5,96.0,174.0,108.0,0.6426,0.5628,4.3152
WILLIAMSBURG-CENTRAL,151.5,103.0,153.0,122.0,0.6426,0.5641,3.8531
WILLIAMSBURG-NORTH,151.5,59.0,29.0,50.0,0.3513,0.3135,0.8725
WILLIAMSBURG-SOUTH,151.5,60.0,57.0,80.0,0.4229,0.3793,1.5519
ELMHURST,158.5,147.0,34.0,32.0,0.4508,0.3779,1.0578
EASTELMHURST,158.5,126.0,116.0,131.0,0.645,0.5644,3.0363
FLATBUSH-CENTRAL,123.0,87.0,39.0,58.0,0.3726,0.3239,1.1217
FLATBUSH-NORTH,123.0,171.0,100.0,100.0,0.5995,0.507,2.6557
FLATLANDS,38.0,154.0,160.0,150.0,0.6092,0.5171,4.0257
BERGENBEACH,38.0,102.0,149.0,170.0,0.557,0.487,3.7434
MILLBASIN,38.0,81.0,147.0,114.0,0.4612,0.3995,3.6158
OLDMILLBASIN,38.0,157.0,154.0,169.0,0.6286,0.5365,3.911
FLUSHING-NORTH,75.5,99.0,15.0,23.0,0.2579,0.2123,0.5129
BEECHHURST,75.5,86.0,157.0,168.0,0.5904,0.5225,3.9329
COLLEGEPOINT,75.5,110.0,78.0,85.0,0.4229,0.361,2.044
FLUSHING-SOUTH,75.5,94.0,44.0,76.0,0.3513,0.3021,1.2346
FLUSHINGMEADOWPARK,75.5,93.0,196.0,141.0,0.6135,0.5354,4.8095
WHITESTONE,75.5,111.0,89.0,137.0,0.5006,0.4362,2.3554
FORDHAM,178.5,207.0,124.0,89.0,0.7263,0.6118,3.2657
CROTONAPARK,178.5,203.0,177.0,103.0,0.8028,0.6797,4.4992
FIELDSTON,178.5,69.0,182.0,146.0,0.6984,0.6257,4.5314
FORESTHILLS,10.5,128.0,36.0,59.0,0.2834,0.2268,1.0252
BRIARWOOD,10.5,149.0,163.0,153.0,0.5771,0.4881,4.0766
MIDDLEVILLAGE,10.5,114.0,92.0,84.0,0.3647,0.3027,2.3302
REGOPARK,10.5,130.0,54.0,97.0,0.3538,0.2929,1.4837
FORTGREENE,26.0,50.0,72.0,48.0,0.2379,0.2032,1.7769
CLINTONHILL,26.0,73.0,66.0,81.0,0.2985,0.2563,1.697
DOWNTOWN-FULTONMALL,26.0,39.0,58.0,38.0,0.1954,0.1677,1.4325
GERRITSENBEACH,90.0,105.0,179.0,164.0,0.6529,0.5726,4.4631
GREENPOINT,41.0,141.0,40.0,53.0,0.3337,0.2694,1.142
GREENWICHVILLAGE-CENTRAL,156.0,7.0,18.0,13.0,0.2354,0.2193,0.5307
GREENWICHVILLAGE-WEST,156.0,22.0,13.0,20.0,0.2561,0.2352,0.4376
HARLEM-UPPER,22.5,51.0,55.0,66.0,0.236,0.2045,1.4035
HIGHBRIDGE/MORRISHEIGHTS,184.5,205.0,121.0,61.0,0.6936,0.58,3.1677
HUNTSPOINT,57.0,201.0,155.0,111.0,0.6359,0.5255,3.925
CASTLEHILL/UNIONPORT,57.0,196.0,151.0,140.0,0.6602,0.5525,3.8596
INWOOD,143.5,32.0,118.0,107.0,0.486,0.442,2.9559
JACKSONHEIGHTS,171.0,138.0,38.0,54.0,0.4867,0.4156,1.1729
AIRPORTLAGUARDIA,171.0,166.0,200.0,183.0,0.8738,0.7609,5.0765
CORONA,171.0,108.0,47.0,56.0,0.4636,0.4023,1.3535
JAMAICA,129.5,185.0,93.0,92.0,0.6062,0.5092,2.5031
HILLCREST,129.5,118.0,176.0,181.0,0.7336,0.6464,4.4491
JAMAICAESTATES,129.5,125.0,150.0,157.0,0.6814,0.5965,3.8302
JAMAICAHILLS,129.5,172.0,175.0,155.0,0.7664,0.6587,4.4501
KINGSBRIDGEHTS/UNIVHTS,47.0,197.0,138.0,116.0,0.6044,0.4994,3.5285
BRONX-UNKNOWN,113.5,202.0,198.0,135.0,0.787,0.6644,4.978
BATHGATE,113.5,206.0,168.0,110.0,0.7251,0.6067,4.2628
BAYCHESTER,113.5,191.0,107.0,120.0,0.645,0.5441,2.8526
BRONXPARK,113.5,198.0,193.0,171.0,0.8198,0.6997,4.8981
PELHAMGARDENS,113.5,170.0,186.0,179.0,0.787,0.679,4.7183
LONGISLANDCITY,43.0,80.0,20.0,15.0,0.1917,0.1545,0.5813
SUNNYSIDE,43.0,84.0,109.0,112.0,0.4223,0.3665,2.7433
WOODSIDE,43.0,124.0,99.0,96.0,0.4393,0.3701,2.5341
MORRISANIA/LONGWOOD,57.0,199.0,73.0,34.0,0.4405,0.3466,1.9482
LOWEREASTSIDE,136.0,27.0,33.0,33.0,0.2779,0.2526,0.9057
EASTRIVER,136.0,134.0,195.0,119.0,0.7087,0.6113,4.839
EASTVILLAGE,136.0,29.0,46.0,60.0,0.3289,0.3003,1.2369
LITTLEITALY,136.0,15.0,86.0,77.0,0.3811,0.3502,2.1642
HARLEM-WEST,22.5,137.0,143.0,68.0,0.4496,0.3683,3.5183
MANHATTANVALLEY,22.5,30.0,63.0,115.0,0.2797,0.2547,1.6211
MORNINGSIDEHEIGHTS,22.5,66.0,166.0,95.0,0.4242,0.3656,4.0092
MIDTOWNCBD,199.5,9.0,3.0,2.0,0.2591,0.2423,0.2012
FASHION,199.5,26.0,10.0,4.0,0.2907,0.266,0.3813
MANHATTAN-UNKNOWN,199.5,21.0,189.0,18.0,0.5188,0.4618,4.5191
COUNTRYCLUB,199.5,119.0,165.0,177.0,0.8016,0.7116,4.2345
MIDWOOD,123.0,106.0,69.0,49.0,0.4211,0.3594,1.8221
KENSINGTON,123.0,75.0,139.0,152.0,0.5934,0.5302,3.5186
OCEANPARKWAY-SOUTH,123.0,82.0,90.0,104.0,0.4842,0.4277,2.3431
MORRISPARK/VANNEST,113.5,167.0,142.0,123.0,0.662,0.5636,3.6396
BRONXDALE,113.5,181.0,128.0,109.0,0.645,0.5439,3.3151
CITYISLAND,113.5,107.0,184.0,175.0,0.7033,0.6198,4.6066
CITYISLAND-PELHAMSTRIP,113.5,37.0,199.0,185.0,0.6487,0.5891,4.8954
MOUNTHOPE/MOUNTEDEN,113.5,204.0,115.0,102.0,0.6487,0.5412,3.03
SCHUYLERVILLE/PELHAMBAY,113.5,165.0,136.0,138.0,0.6705,0.574,3.5157
MOTTHAVEN/PORTMORRIS,193.0,193.0,108.0,19.0,0.6226,0.5156,2.8155
OCEANHILL,173.5,70.0,81.0,71.0,0.48,0.4265,2.1185
OCEANPARKWAY-NORTH,54.5,85.0,61.0,72.0,0.3307,0.283,1.6008
OZONEPARK,99.0,174.0,84.0,139.0,0.6019,0.5128,2.3177
CYPRESSHILLS,99.0,65.0,113.0,145.0,0.5121,0.4592,2.8871
PARKSLOPE,32.0,57.0,25.0,43.0,0.1905,0.1619,0.6982
PARKSLOPESOUTH,32.0,74.0,102.0,136.0,0.4175,0.3675,2.5917
PROSPECTHEIGHTS,32.0,67.0,65.0,99.0,0.3192,0.279,1.6914
PARKCHESTER,182.0,122.0,144.0,121.0,0.6905,0.6046,3.6814
WESTCHESTER,182.0,83.0,148.0,118.0,0.6444,0.5726,3.7325
PELHAMPARKWAYNORTH,113.5,187.0,173.0,167.0,0.7773,0.6652,4.4219
QUEENSVILLAGE,164.5,160.0,85.0,172.0,0.7057,0.6176,2.403
BELLEROSE,164.5,95.0,152.0,166.0,0.7008,0.6248,3.8782
FLORALPARK,164.5,68.0,156.0,161.0,0.6669,0.6004,3.9388
FRESHMEADOWS,164.5,90.0,158.0,148.0,0.6802,0.6049,3.9921
GLENOAKS,164.5,58.0,130.0,163.0,0.6256,0.568,3.3317
HOLLIS,164.5,155.0,103.0,174.0,0.7239,0.6343,2.8154
HOLLISHILLS,164.5,120.0,181.0,173.0,0.7749,0.6837,4.5788
HOLLISWOOD,164.5,151.0,170.0,182.0,0.8101,0.7091,4.3651
QUEENS-UNKNOWN,164.5,153.0,202.0,156.0,0.8198,0.7119,5.0765
RICHMONDHILL,99.0,163.0,51.0,94.0,0.4939,0.4154,1.497
KEWGARDENS,99.0,140.0,126.0,144.0,0.6177,0.5336,3.2586
WOODHAVEN,99.0,182.0,101.0,160.0,0.6578,0.5623,2.7404
RIDGEWOOD,104.5,113.0,75.0,73.0,0.4436,0.3792,1.9822
GLENDALE,104.5,116.0,106.0,125.0,0.5479,0.4765,2.7567
RIVERDALE,47.0,77.0,70.0,75.0,0.3265,0.2805,1.7993
VANCORTLANDTPARK,47.0,52.0,201.0,187.0,0.591,0.5296,4.918
SHEEPSHEADBAY,90.0,109.0,48.0,91.0,0.4102,0.3535,1.3666
MARINEPARK,90.0,79.0,120.0,147.0,0.5291,0.4701,3.0589
SOHO,156.0,6.0,16.0,10.0,0.2282,0.2128,0.4803
SOUNDVIEW,182.0,200.0,83.0,90.0,0.6735,0.5694,2.3167
ALPHABETCITY,65.0,34.0,77.0,83.0,0.3143,0.2824,1.9386
KIPSBAY,65.0,35.0,14.0,14.0,0.1553,0.1351,0.4115
GRAMERCY,65.0,16.0,22.0,25.0,0.1553,0.1408,0.5896
MURRAYHILL,65.0,23.0,17.0,16.0,0.1468,0.1306,0.4712
SUNSETPARK,80.0,88.0,42.0,45.0,0.3095,0.2626,1.1516
BUSHTERMINAL,80.0,143.0,162.0,70.0,0.5522,0.4612,3.9993
THROGSNECK,93.0,184.0,132.0,154.0,0.6833,0.5815,3.447
TRIBECA,140.5,1.0,11.0,6.0,0.1924,0.1809,0.3464
CIVICCENTER,140.5,3.0,26.0,31.0,0.2433,0.2282,0.7215
MIDTOWNEAST,65.0,13.0,8.0,12.0,0.1189,0.1083,0.2496
UPPEREASTSIDE(59-79),187.5,5.0,2.0,3.0,0.2397,0.2254,0.168
UPPEREASTSIDE(79-96),187.5,20.0,5.0,9.0,0.2688,0.2482,0.2583
UPPEREASTSIDE(96-110),187.5,19.0,114.0,46.0,0.4448,0.4037,2.8111
ROOSEVELTISLAND,187.5,49.0,178.0,127.0,0.6572,0.5923,4.4044
UPPERWESTSIDE(59-79),70.5,11.0,4.0,11.0,0.1171,0.1076,0.1577
UPPERWESTSIDE(79-96),70.5,18.0,12.0,21.0,0.1475,0.1338,0.3599
UPPERWESTSIDE(96-116),70.5,33.0,23.0,37.0,0.1984,0.1769,0.6456
WAKEFIELD,191.0,186.0,146.0,159.0,0.8277,0.7162,3.8367
WOODLAWN,191.0,146.0,185.0,176.0,0.8471,0.7435,4.7157
WASHINGTONHEIGHTSLOWER,17.0,71.0,50.0,26.0,0.199,0.1612,1.2606
WASHINGTONHEIGHTSUPPER,143.5,38.0,49.0,74.0,0.3695,0.3364,1.3346
MIDTOWNWEST,70.5,14.0,1.0,1.0,0.105,0.0949,0.0805
WILLIAMSBRIDGE,191.0,192.0,104.0,133.0,0.7524,0.6467,2.8456
WINDSORTERRACE,80.0,62.0,133.0,69.0,0.4175,0.3631,3.2508
FLATBUSH-LEFFERTSGARDEN,120.0,161.0,125.0,143.0,0.6663,0.5729,3.2676
JAMAICABAY,4.5,150.0,194.0,184.0,0.6462,0.5513,4.8226
KINGSBRIDGE/JEROMEPARK,47.0,133.0,123.0,65.0,0.4466,0.3691,3.0648
PELHAMPARKWAYSOUTH,47.0,139.0,145.0,128.0,0.557,0.473,3.6467
