neighborhood,crime_rank,income_rank,sales_rank,dev_rank,eq_weight_score,weights_by_completeness,weights_by_reliability
ASTORIA,48.5,150.0,72.0,118.0,0.4715,0.3971,1.9641
BATHBEACH,132.0,108.5,110.0,40.0,0.4739,0.4028,2.7655
GRAVESEND,132.0,63.5,103.0,80.0,0.4593,0.4068,2.6041
FINANCIAL,16.5,206.0,8.0,176.0,0.4933,0.4118,0.5867
SOUTHBRIDGE,16.5,2.0,186.0,122.0,0.3962,0.3588,4.434
BAYRIDGE,76.0,146.0,159.0,59.0,0.534,0.4427,3.9186
BAYSIDE,116.5,29.0,120.0,107.0,0.4521,0.4105,2.9827
DOUGLASTON,116.5,111.5,62.0,164.0,0.551,0.4889,1.7877
LITTLENECK,116.5,100.0,129.0,26.0,0.4508,0.3804,3.1707
OAKLANDGARDENS,116.5,84.0,100.0,14.0,0.3817,0.3229,2.4734
BEDFORDPARK/NORWOOD,72.0,57.5,150.0,144.0,0.514,0.4586,3.7155
BEDFORDSTUYVESANT,157.0,189.0,69.0,157.0,0.6942,0.5985,2.0413
BELMONT,145.5,48.5,48.0,94.0,0.4078,0.3707,1.3448
BENSONHURST,132.0,96.5,78.0,82.0,0.4715,0.4111,2.0619
BOROUGHPARK,76.0,137.5,115.0,10.0,0.4108,0.3312,2.8422
BRIGHTONBEACH,157.0,118.0,101.0,110.0,0.5898,0.5152,2.6589
MANHATTANBEACH,157.0,16.0,154.0,126.0,0.5498,0.5041,3.7994
SEAGATE,157.0,23.5,198.0,93.0,0.5722,0.5152,4.7852
BROOKLYNHEIGHTS,24.5,142.5,93.0,71.0,0.4017,0.3277,2.3752
BROOKLYN-UNKNOWN,24.5,159.0,201.0,22.0,0.4933,0.3923,4.828
COBBLEHILL,24.5,132.0,167.0,147.0,0.571,0.4868,4.1543
COBBLEHILL-WEST,24.5,140.5,23.0,180.0,0.4466,0.3868,0.8782
DOWNTOWN-FULTONFERRY,24.5,106.0,63.0,61.0,0.3089,0.2546,1.6371
DOWNTOWN-METROTECH,24.5,25.5,14.0,154.0,0.2646,0.2505,0.5306
BROWNSVILLE,136.5,166.5,190.0,169.0,0.8034,0.6945,4.8101
BUSHWICK,150.5,188.0,97.5,96.0,0.6456,0.5453,2.6269
WYCKOFFHEIGHTS,150.5,197.0,147.0,181.0,0.8198,0.7065,3.8698
CANARSIE,163.5,67.5,181.0,158.0,0.6917,0.6208,4.5109
CARROLLGARDENS,183.0,132.0,45.0,162.0,0.6335,0.5626,1.4538
BOERUMHILL,183.0,137.5,131.0,9.0,0.5589,0.4694,3.275
GOWANUS,183.0,154.0,59.0,103.0,0.6056,0.5236,1.7335
REDHOOK,183.0,176.0,199.0,11.0,0.6905,0.5733,4.8825
HARLEM-CENTRAL,84.0,13.5,31.0,77.0,0.2494,0.2329,0.863
CHELSEA,198.5,204.0,112.0,175.0,0.8368,0.7245,3.0922
FLATIRON,198.5,91.0,37.0,98.0,0.5152,0.4605,1.169
MADISON,198.5,106.0,166.0,125.0,0.7227,0.6376,4.1876
CHINATOWN,142.0,32.0,27.0,34.0,0.2852,0.2587,0.7769
CLINTON,198.5,199.0,116.0,150.0,0.8052,0.694,3.1522
CO-OPCITY,20.0,25.5,10.0,165.0,0.2676,0.2546,0.4477
MELROSE/CONCOURSE,56.5,111.5,65.0,38.0,0.3289,0.2701,1.6828
CONEYISLAND,157.0,19.0,15.0,16.0,0.2512,0.231,0.4771
CROWNHEIGHTS,171.0,169.0,119.0,74.0,0.6468,0.5484,3.0926
DYKERHEIGHTS,76.0,57.5,108.0,51.0,0.355,0.3074,2.6479
FLATBUSH-EAST,119.0,177.5,164.0,52.0,0.622,0.5149,4.0829
HARLEM-EAST,47.0,8.0,28.0,67.0,0.182,0.1706,0.7551
EASTNEWYORK,125.5,187.0,135.0,101.0,0.6657,0.5601,3.4809
SPRINGCREEK,125.5,38.0,202.0,33.0,0.4836,0.4223,4.8069
EASTTREMONT,145.5,51.5,82.0,141.0,0.5097,0.465,2.1831
WILLIAMSBURG-EAST,100.5,195.0,56.0,104.0,0.5528,0.4609,1.6552
MASPETH,100.5,151.0,124.0,179.0,0.6729,0.5849,3.2623
NAVYYARD,100.5,191.0,33.0,186.0,0.6195,0.5336,1.2105
WILLIAMSBURG-CENTRAL,100.5,196.0,84.0,78.0,0.5564,0.4588,2.2734
WILLIAMSBURG-NORTH,100.5,186.0,16.0,47.5,0.4248,0.344,0.6624
WILLIAMSBURG-SOUTH,100.5,194.0,51.0,73.0,0.5079,0.4173,1.505
ELMHURST,72.0,111.5,113.0,24.0,0.389,0.32,2.7837
EASTELMHURST,72.0,162.0,109.0,21.0,0.4417,0.3542,2.7373
FLATBUSH-CENTRAL,107.0,172.0,99.0,133.0,0.6201,0.5284,2.66
FLATBUSH-NORTH,107.0,154.0,158.0,139.0,0.6772,0.5811,4.0095
FLATLANDS,163.5,103.0,137.0,119.0,0.6341,0.5579,3.4882
BERGENBEACH,163.5,51.5,139.5,28.0,0.4642,0.4073,3.3964
MILLBASIN,163.5,148.5,34.0,163.0,0.6177,0.5438,1.2054
OLDMILLBASIN,163.5,172.0,174.0,56.0,0.6863,0.5766,4.3395
FLUSHING-NORTH,66.5,86.0,55.0,132.0,0.412,0.3643,1.5362
BEECHHURST,66.5,18.0,105.0,106.0,0.3586,0.3274,2.5947
COLLEGEPOINT,66.5,67.5,132.0,127.0,0.4769,0.4215,3.2883
FLUSHING-SOUTH,66.5,152.0,117.0,140.0,0.5771,0.4921,3.0387
FLUSHINGMEADOWPARK,66.5,81.0,191.0,42.0,0.4618,0.3899,4.569
WHITESTONE,66.5,57.5,79.0,108.0,0.3774,0.336,2.0357
FORDHAM,163.5,33.0,20.0,79.0,0.3586,0.3317,0.6787
CROTONAPARK,163.5,57.5,38.0,62.0,0.3896,0.3498,1.099
FIELDSTON,163.5,177.5,85.0,39.0,0.5643,0.4696,2.2741
FORESTHILLS,93.0,103.0,97.5,97.0,0.4739,0.4098,2.5106
BRIARWOOD,93.0,51.5,94.0,155.5,0.4782,0.4345,2.4438
MIDDLEVILLAGE,93.0,126.5,127.0,81.0,0.5188,0.4401,3.1961
REGOPARK,93.0,126.5,136.0,149.0,0.6123,0.5318,3.4779
FORTGREENE,169.0,114.5,54.0,166.0,0.611,0.546,1.6402
CLINTONHILL,169.0,182.0,35.5,112.0,0.605,0.5176,1.2201
DOWNTOWN-FULTONMALL,169.0,98.0,6.0,183.0,0.5534,0.5039,0.5359
GERRITSENBEACH,132.0,30.5,188.0,75.0,0.5164,0.4602,4.5266
GREENPOINT,138.5,198.0,49.0,115.0,0.6074,0.5133,1.5317
GREENWICHVILLAGE-CENTRAL,93.0,157.5,44.0,3.0,0.361,0.2863,1.2272
GREENWICHVILLAGE-WEST,93.0,180.0,67.0,109.0,0.5449,0.4571,1.8951
HARLEM-UPPER,112.5,34.0,7.0,135.5,0.3507,0.3292,0.4107
HIGHBRIDGE/MORRISHEIGHTS,56.5,42.5,66.0,89.0,0.3083,0.2757,1.6946
HUNTSPOINT,188.0,54.0,18.0,50.0,0.3762,0.3401,0.6362
CASTLEHILL/UNIONPORT,188.0,71.0,194.0,142.0,0.7221,0.6457,4.8114
INWOOD,70.0,63.5,64.0,17.0,0.2603,0.2192,1.5984
JACKSONHEIGHTS,52.5,157.5,111.0,54.0,0.4551,0.3701,2.8032
AIRPORTLAGUARDIA,52.5,174.5,57.0,6.0,0.3519,0.2708,1.5221
CORONA,52.5,140.5,149.0,168.0,0.6189,0.5332,3.7874
JAMAICA,198.5,116.0,170.5,167.0,0.7913,0.7015,4.3469
HILLCREST,198.5,96.5,91.0,32.0,0.5073,0.4402,2.3474
JAMAICAESTATES,198.5,121.0,42.0,36.0,0.4824,0.4153,1.2457
JAMAICAHILLS,198.5,95.0,177.0,8.0,0.5807,0.4977,4.3027
KINGSBRIDGEHTS/UNIVHTS,43.5,73.0,118.0,130.0,0.4424,0.389,2.9601
BRONX-UNKNOWN,7.5,81.0,17.0,102.0,0.2518,0.217,0.5866
BATHGATE,7.5,41.0,9.0,135.5,0.2342,0.2163,0.3999
BAYCHESTER,7.5,45.0,142.0,105.0,0.3635,0.3185,3.4372
BRONXPARK,7.5,86.0,11.0,15.0,0.145,0.1095,0.3581
PELHAMGARDENS,7.5,30.5,196.0,69.0,0.3677,0.318,4.6289
LONGISLANDCITY,121.0,192.0,95.0,63.0,0.5716,0.4721,2.5192
SUNNYSIDE,121.0,185.0,29.0,117.0,0.5485,0.4644,1.0495
WOODSIDE,121.0,169.0,104.0,83.0,0.5789,0.4865,2.7262
MORRISANIA/LONGWOOD,188.0,65.0,32.0,148.0,0.5255,0.4824,1.0767
LOWEREASTSIDE,142.0,7.0,92.0,31.0,0.3301,0.3007,2.2482
EASTRIVER,142.0,111.5,88.0,172.0,0.6232,0.5545,2.4114
EASTVILLAGE,142.0,13.5,46.0,123.0,0.3938,0.3708,1.2943
LITTLEITALY,142.0,124.5,130.0,124.0,0.6317,0.55,3.34
HARLEM-WEST,112.5,94.0,21.0,129.0,0.4326,0.3854,0.7846
MANHATTANVALLEY,112.5,36.0,30.0,138.0,0.3841,0.3574,0.9457
MORNINGSIDEHEIGHTS,112.5,57.5,175.5,37.0,0.4642,0.4013,4.2112
MIDTOWNCBD,33.5,203.0,12.0,2.0,0.304,0.2218,0.4963
FASHION,33.5,17.0,22.0,88.0,0.1948,0.1819,0.6402
MANHATTAN-UNKNOWN,33.5,103.0,2.0,45.0,0.2227,0.1807,0.2156
COUNTRYCLUB,33.5,67.5,157.0,13.0,0.3289,0.2708,3.7202
MIDWOOD,107.0,132.0,77.0,58.0,0.4539,0.3817,2.0319
KENSINGTON,107.0,164.5,189.0,178.0,0.7749,0.6688,4.7771
OCEANPARKWAY-SOUTH,107.0,137.5,106.0,20.0,0.4496,0.3698,2.6644
MORRISPARK/VANNEST,7.5,51.5,179.0,44.0,0.3422,0.2877,4.23
BRONXDALE,7.5,75.0,133.0,84.5,0.3641,0.3094,3.2364
CITYISLAND,7.5,128.5,187.0,23.0,0.4199,0.3343,4.4663
CITYISLAND-PELHAMSTRIP,7.5,154.0,1.0,27.0,0.23,0.1703,0.2066
MOUNTHOPE/MOUNTEDEN,7.5,40.0,39.0,53.0,0.1693,0.146,1.0005
SCHUYLERVILLE/PELHAMBAY,7.5,78.0,156.0,100.0,0.4144,0.3542,3.7866
MOTTHAVEN/PORTMORRIS,14.0,81.0,195.0,25.0,0.3823,0.313,4.6108
OCEANHILL,136.5,174.5,155.0,113.0,0.7027,0.5974,3.9497
OCEANPARKWAY-NORTH,76.0,146.0,152.0,134.0,0.6165,0.5266,3.8391
OZONEPARK,150.5,108.5,161.0,121.0,0.6566,0.5745,4.0412
CYPRESSHILLS,150.5,162.0,148.0,173.0,0.7688,0.6688,3.8502
PARKSLOPE,183.0,164.5,75.0,49.0,0.5722,0.4831,2.0536
PARKSLOPESOUTH,183.0,183.0,76.0,92.0,0.6481,0.5517,2.1416
PROSPECTHEIGHTS,183.0,179.0,139.5,47.5,0.6663,0.5592,3.5533
PARKCHESTER,125.5,148.5,96.0,68.0,0.5316,0.4482,2.5082
WESTCHESTER,125.5,146.0,169.0,99.0,0.6547,0.5584,4.2229
PELHAMPARKWAYNORTH,7.5,45.0,145.0,128.0,0.395,0.3495,3.5315
QUEENSVILLAGE,84.0,88.5,170.5,29.0,0.4515,0.3795,4.1
BELLEROSE,84.0,57.5,128.0,86.5,0.432,0.3801,3.1527
FLORALPARK,84.0,67.5,121.0,90.0,0.4399,0.3855,3.0049
FRESHMEADOWS,84.0,86.0,80.0,91.0,0.4138,0.3602,2.0785
GLENOAKS,84.0,156.0,25.0,153.0,0.5073,0.4373,0.946
HOLLIS,84.0,61.5,184.5,5.0,0.4066,0.3423,4.3704
HOLLISHILLS,84.0,83.0,70.0,43.0,0.3398,0.2892,1.7926
HOLLISWOOD,84.0,6.0,53.0,18.0,0.1954,0.1776,1.2985
QUEENS-UNKNOWN,84.0,134.5,88.0,187.0,0.5989,0.5251,2.4149
RICHMONDHILL,191.0,121.0,163.0,143.0,0.75,0.6602,4.1481
KEWGARDENS,191.0,128.5,122.0,160.0,0.73,0.6452,3.2285
WOODHAVEN,191.0,142.5,162.0,19.0,0.6244,0.5265,4.0104
RIDGEWOOD,100.5,144.0,114.0,95.0,0.5504,0.4669,2.9332
GLENDALE,100.5,134.5,141.0,60.0,0.5291,0.4441,3.5083
RIVERDALE,43.5,124.5,146.0,41.0,0.4308,0.3524,3.5586
VANCORTLANDTPARK,43.5,169.0,4.0,66.0,0.3428,0.2745,0.3548
SHEEPSHEADBAY,132.0,118.0,160.0,57.0,0.5667,0.4824,3.9462
MARINEPARK,132.0,118.0,151.0,72.0,0.574,0.4914,3.7551
SOHO,93.0,28.0,26.0,152.0,0.3629,0.3412,0.8492
SOUNDVIEW,125.5,78.0,125.0,170.0,0.605,0.5431,3.2198
ALPHABETCITY,38.0,20.0,52.0,86.5,0.2385,0.2184,1.336
KIPSBAY,38.0,5.0,197.0,114.0,0.4296,0.3875,4.6949
GRAMERCY,38.0,21.0,13.0,171.0,0.2949,0.2819,0.53
MURRAYHILL,38.0,193.0,61.0,131.0,0.5133,0.4253,1.7601
SUNSETPARK,52.5,137.5,74.0,145.0,0.4964,0.4261,2.03
BUSHTERMINAL,52.5,162.0,5.0,185.0,0.4909,0.4245,0.5065
THROGSNECK,20.0,45.0,183.0,120.0,0.4466,0.393,4.4066
TRIBECA,16.5,205.0,43.0,151.0,0.5042,0.4164,1.3655
CIVICCENTER,16.5,207.0,50.0,177.0,0.5467,0.4568,1.5572
MIDTOWNEAST,38.0,200.0,68.0,146.0,0.5485,0.4564,1.9447
UPPEREASTSIDE(59-79),29.5,90.0,58.0,1.0,0.2166,0.1691,1.4438
UPPEREASTSIDE(79-96),29.5,27.0,73.0,84.5,0.2597,0.2335,1.8197
UPPEREASTSIDE(96-110),29.5,3.0,35.5,65.0,0.1614,0.1516,0.9104
ROOSEVELTISLAND,29.5,42.5,88.0,161.0,0.3896,0.3545,2.2641
UPPERWESTSIDE(59-79),60.5,121.0,83.0,55.0,0.3877,0.3216,2.1281
UPPERWESTSIDE(79-96),60.5,202.0,71.0,137.0,0.571,0.4761,2.0196
UPPERWESTSIDE(96-116),60.5,1.0,126.0,174.0,0.4387,0.4103,3.1331
WAKEFIELD,60.5,75.0,168.0,35.0,0.4108,0.346,4.0215
WOODLAWN,60.5,48.5,102.0,155.5,0.4448,0.4028,2.6056
WASHINGTONHEIGHTSLOWER,138.5,15.0,41.0,159.0,0.429,0.4066,1.2177
WASHINGTONHEIGHTSUPPER,1.0,22.0,19.0,70.0,0.1359,0.1238,0.5365
MIDTOWNWEST,43.5,201.0,24.0,116.0,0.4666,0.3822,0.9016
WILLIAMSBRIDGE,60.5,75.0,138.0,111.0,0.4666,0.4076,3.4128
WINDSORTERRACE,52.5,166.5,107.0,4.0,0.4005,0.3128,2.6651
FLATBUSH-LEFFERTSGARDEN,110.0,190.0,47.0,30.0,0.4575,0.3687,1.3677
JAMAICABAY,175.5,71.0,172.0,182.0,0.7288,0.6574,4.3402
KINGSBRIDGE/JEROMEPARK,43.5,130.0,40.0,76.0,0.3513,0.2911,1.1579
PELHAMPARKWAYSOUTH,43.5,100.0,200.0,46.0,0.4727,0.3933,4.7854
